Son Hai Anh Nguyen,2026-09-13T21:19:02+10:00,Place original Prototype-3 files under Prototype-3,
Son Hai Anh Nguyen,2026-09-01T19:08:17+10:00,Remap prototype to use musical notes and fix audibility,"Remap prototype so horizontal movement selects octaves 1–8 and vertical movement selects notes C–B. Add mousemove-based dragging, controlled Hz variations of each notes. Low-octave (1-3) gain compensation, and triangle waves for improved bass audibility.
"
Son Hai Anh Nguyen,2026-09-01T18:39:47+10:00,Enable sound when objects are dragged and clicked,"Pressing or dragging objects produces a note with continuous pitch and stereo-pan updates, while releasing fades and safely disposes temporary audio nodes.
"
Son Hai Anh Nguyen,2026-09-01T18:34:44+10:00,Create prototype 3,"making 2 objects draggable in a canvas, a button to play the 2 notes
"
Son Hai Anh Nguyen,2026-09-01T18:24:54+10:00,Initial commit,
